PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/10/2025,7:51:37 PM,1,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,1,0,Fastball,,Foul,,,,,,,80.71735461,-1.136829552,-4.769283331,2117.218753,217.1862518,1:15,5.770994018,2.22440261,6.000000192,-26.93964619,16.90070434,9.419360554,2.465651065,-1.433458315,72.47758684,-6.223205627,-2.989039689,0.476550063,54.73223544,-21.91530213,80.47641117,,-108.7827687,-16.31898358,18.46563931,7.77684117,,66.30132843,0.125431738,-6.696415156,9.522147931,-1.840482007,50,5.662447419,9.479904351,-116.9164273,-3.113870522,-9.087589685,26.06662689,-19.25170662,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,1acc7d6b-df80-41ea-b4c2-357e6c2b6a01,80.95758399,5.771286194,2.230747126,-1.141865688,-4.844426594,72.67035682,2.466390476,-1.438312998,-6.210324364,-3.062235659,0.476339895,10.1289487,15.47452923,-40.29863869,60.69631477,1614.768217,-1369.357095,76.26836927,-0.607611008,-0.646771664,-0.460972102,50.07726641,8.401256177,-20.42801703,0.862345395,1.596995249,2.736430116,7.121035027,3.125718914,,,,,,,,,0.977795771,0,,13.04627152,medium,high,35.37331671,42.10804679,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
2,6/10/2025,7:51:46 PM,1,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,30de0d07-a3a1-4af5-b40d-c29a7baf40b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Bowles,,Kcl groundsloths 2025,2019-02
3,6/10/2025,7:51:56 PM,1,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,1,0,Fastball,,BallCalled,,,,,,,81.31853671,0.321500491,-5.207488395,1988.751443,214.9094179,1:15,5.730783297,4.266983121,6.000000192,-27.54707627,15.74384271,7.949792365,3.73523556,0.076288337,72.77322342,-4.889381734,-3.706107604,0.473554453,,,,,,,,,,,,-6.07267952,8.40740335,-3.846239579,50,5.741133555,10.49556645,-117.7187651,-0.144753165,-8.342869135,26.71240661,-20.6236515,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,6294de6a-d63e-4bdd-b424-d918776f11ad,81.56530994,5.730666491,4.27280625,0.321210168,-5.276861277,72.97181045,3.736243344,0.072069768,-4.871589061,-3.773723201,0.473347644,8.60950159,14.23079988,-46.57280881,39.48637506,1367.131865,-1444.32779,68.74322429,-0.563734186,-0.726248519,-0.393404189,,,,,,,,,,,,,,,,,0.994177713,0,,,medium,high,54.46226244,-8.695593907,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
4,6/10/2025,7:52:10 PM,1,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,1,1,Fastball,,BallCalled,,,,,,,81.41746016,0.321149498,-6.010649206,2241.148923,206.9141841,1:00,5.679618094,2.906921649,6.000000192,-24.61829223,18.68024391,7.135194282,3.92822104,-2.105321371,72.80497734,-4.331856706,-4.666756421,0.473596113,,,,,,,,,,,,-5.904157103,9.995632758,-2.419653895,50,5.691669298,12.18371008,-117.7011183,-0.05873832,-8.110242012,26.67111497,-18.44355439,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,54775268-9d4f-41db-8a3f-1a757ed670e6,81.671413,5.680891892,2.912212059,0.304491774,-6.072523456,73.01053827,3.928233585,-2.109324885,-4.32984852,-4.726832737,0.473376074,7.721463592,17.3257606,-42.58495147,81.13106197,1650.101556,-1516.54652,73.62748362,-0.656525594,-0.676682618,-0.333278831,,,,,,,,,,,,,,,,,0.992964939,0,,,medium,high,16.98204423,-87.76782391,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
5,6/10/2025,7:52:30 PM,1,4,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,2,1,Fastball,,StrikeCalled,,,,,,,81.86046882,0.086723923,-5.787069697,2195.517564,215.5452421,1:15,5.502673331,4.657212145,6.000000192,-25.72882907,17.04589775,9.063208842,3.439617746,0.015648861,73.25697739,-4.776755027,-4.078376307,0.470722703,,,,,,,,,,,,-6.860703452,9.190353816,-4.18946896,50,5.494871216,11.73163295,-118.3953181,-0.579348715,-9.54086213,26.87513846,-19.39345073,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,798c13a4-198f-4ca8-9385-575b8e0158b3,82.10834777,5.503360612,4.663395338,0.076883634,-5.86028287,73.4578911,3.440035478,0.010973644,-4.768540997,-4.150198413,0.470514389,9.757928441,15.67346035,-42.802421,91.72849188,1610.853762,-1491.793395,73.37011499,-0.596980877,-0.679472312,-0.42653395,,,,,,,,,,,,,,,,,0.99524665,0,,,medium,high,7.444357308,-17.12492787,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
6,6/10/2025,7:52:50 PM,1,5,Cooper Stolfa,,Right,Kcl groundsloths 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,2,2,Fastball,,InPlay,,LineDrive,Out,1,0,,81.12423978,0.544323472,-3.597368497,2181.758461,205.6611193,12:45,5.677019333,2.183971083,6.000000192,-27.68794922,15.6692075,5.340349181,3.876594925,-0.718771528,72.57849166,-4.703336404,-2.585018613,0.473916598,93.48395267,8.987188281,-16.34934642,859.7853316,-33.23488508,104.8591551,6.631488385,144.9943711,,-18.43660468,1.237171892,-4.1241351,8.292019427,-1.8936519,50,5.705433058,7.241878154,-117.6794165,0.309045421,-5.655672194,26.92536339,-20.80270928,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,3b0902c6-13ee-458e-aa7c-d126ef1b035a,81.37413542,5.676794995,2.189006606,0.545232929,-3.657423753,72.7815561,3.877795622,-0.722650677,-4.683704858,-2.643234668,0.473695746,5.905844626,14.08636954,-52.31149587,24.88093713,1333.857895,-1726.526309,61.13682697,-0.551069686,-0.791346219,-0.264751512,-25.9920384,88.60249513,14.60346548,0.602081152,2.507243391,3.987964543,-45.85522136,137.552413,-0.734960584,-20.56147957,-0.199953227,-0.59262281,0.131225889,0.7947188,,,0.996609193,0,0.996484406,54.81491235,medium,high,67.60715658,19.23346232,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
7,6/10/2025,7:53:21 PM,2,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Bottom,1,0,0,Fastball,,BallCalled,,,,,,,80.82378539,0.780743452,-6.63963214,2128.483873,215.8131781,1:15,5.852688097,5.10007321,6.000000192,-26.82381188,17.21073818,9.267090054,4.347933134,-0.326273186,72.22878546,-4.285686102,-4.897163093,0.477604383,,,,,,,,,,,,-7.264600736,9.043774061,-4.562178001,50,5.901181622,13.31428874,-116.69503,0.820641793,-9.813206648,26.13431276,-19.95749055,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,28452ef3-0c17-4ddf-83eb-a8642b898e19,81.0729025,5.853253801,5.106366327,0.7722053,-6.714371118,72.43043759,4.348491306,-0.33112343,-4.275344232,-4.970595896,0.477390199,9.97833627,15.77930843,-42.68362542,27.2499547,1564.666315,-1443.004823,73.51083721,-0.596120886,-0.677949616,-0.430144404,,,,,,,,,,,,,,,,,0.996315062,0,,,medium,high,65.47504077,2.042681912,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
8,6/10/2025,7:53:38 PM,2,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Bottom,1,1,0,Fastball,,BallCalled,,,,,,,81.07811187,-0.497415221,-3.340253049,2188.116783,217.5001438,1:15,5.829371869,3.492046477,6.000000192,-26.67285848,16.65654401,9.781255924,3.14354064,1.199219347,72.69766993,-5.546704409,-1.48532591,0.47376489,,,,,,,,,,,,-6.423640859,9.178955578,-3.225322194,50,5.773342056,6.580134487,-117.656193,-1.805329666,-8.817688685,26.63709138,-19.57415888,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,82fd207c-8b59-4664-8815-a88740ab6f90,81.31862567,5.829764973,3.49852802,-0.503764436,-3.417763352,72.89295483,3.144209587,1.194186004,-5.53500022,-1.561746739,0.473554342,10.51054198,15.20561126,-39.80289494,26.25524258,1681.023293,-1400.719724,76.82511763,-0.609493463,-0.640148522,-0.467683214,,,,,,,,,,,,,,,,,0.997618125,0,,,medium,high,66.37028168,-11.68370592,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
9,6/10/2025,7:53:54 PM,2,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Bottom,1,2,0,Fastball,,BallCalled,,,,,,,82.14219698,-0.589038784,-8.169412453,2289.627579,212.6903736,1:00,5.516191133,4.041710771,6.000000192,-24.80148416,18.08338811,8.147079711,2.89631994,-2.923840421,73.55986353,-5.253473996,-6.648420538,0.471328372,,,,,,,,,,,,-7.157250382,9.977758808,-3.376451112,50,5.45334125,16.72834493,-118.2010039,-1.959128056,-9.929963839,26.59341655,-18.33091446,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,7c743b90-2b31-47e3-a62b-fcab5d903e41,82.39165918,5.517247837,4.047386465,-0.60312954,-8.236574978,73.76511329,2.896441789,-2.928337972,-5.249564607,-6.714931134,0.471119609,8.789611723,16.80510543,-45.09071748,83.59522128,1616.445737,-1621.57258,70.59863149,-0.594159168,-0.708225475,-0.381302452,,,,,,,,,,,,,,,,,0.996880107,0,,,medium,high,14.76430084,-33.48542985,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
10,6/10/2025,7:54:28 PM,2,4,Cooper Stolfa,,Right,Kcl groundsloths 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Bottom,1,3,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,a7e2d5ec-5834-4283-8774-090d88d82cfa,17070e6a-c668-4907-b060-053cbec0fb98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Bowles,,Kcl groundsloths 2025,2019-02
